Asada_ID,Ubicación,Telefono,Poblacion,Url,CantAbonados
5014A,Ubicación,Telefono,130,Url,37
5014B,Ubicación,26656883,1089,Url,311
5014C,Ubicación,Telefono,487,Url,139
5014D,Ubicación,Telefono,1,Url,1
5014E,Ubicación,Telefono,1,Url,1
5014F,Ubicación,Telefono,1,Url,1
5042A,Ubicación,Telefono,1,Url,1
5042B,Ubicación,Telefono,1,Url,1
5042C,Ubicación,Telefono,1,Url,1
5042D,Ubicación,Telefono,1,Url,1
5043A,Ubicación,Telefono,1,Url,1
5043B,Ubicación,Telefono,1,Url,1
5043C,Ubicación,Telefono,1,Url,1
5043D,Ubicación,Telefono,1,Url,1
5043E,Ubicación,Telefono,1,Url,1
5043F,Ubicación,Telefono,1,Url,1
5044A,Ubicación,Telefono,1,Url,1
5061A,Ubicación,Telefono,1,Url,1
5061B,Ubicación,Telefono,1,Url,1
5065A,Ubicación,Telefono,315,Url,90
5071A,Ubicación,26628360,900,Url,257
5071B,Ubicación,Telefono,718,Url,205
5071C,Ubicación,Telefono,882,Url,252
5071D,Ubicación,Telefono,476,Url,136
5071E,Ubicación,26620369,221,Url,63
5072A,Ubicación,26458530,326,Url,93
5072B,Ubicación,Telefono,389,Url,111
5072C,Ubicación,26455602,312,Url,89
5072D,Ubicación,26458038,84,Url,24
5072E,Ubicación,26620694,140,Url,40
5072F,Ubicación,26456743,760,Url,217
5072G,Ubicación,26456415,329,Url,94
5072H,Ubicación,26455880,245,Url,70
5072I,Ubicación,26456034,280,Url,80
5072J,Ubicación,26457658,56,Url,16
5073A,Ubicación,26381172,690,Url,197
5073B,Ubicación,26381303,606,Url,173
5073C,Ubicación,26620225,910,Url,260
5073D,Ubicación,26620082,182,Url,52
5074A,Ubicación,Telefono,315,Url,90
5074B,Ubicación,Telefono,1,Url,1
5074C,Ubicación,26628162,462,Url,132
5074D,Ubicación,26780061,305,Url,87
5074E,Ubicación,Telefono,1089,Url,311
5081A,Ubicación,26921270,1173,Url,335
5081B,Ubicación,26931262,158,Url,45
5081C,Ubicación,26953297,693,Url,198
5082A,Ubicación,26938308,949,Url,271
5082B,Ubicación,26938026,308,Url,88
5082C,Ubicación,26958664,1036,Url,296
5082D,Ubicación,Telefono,1,Url,1
5082E,Ubicación,26455750,140,Url,40
5082F,Ubicación,Telefono,1,Url,1
5082G,Ubicación,26938004,182,Url,52
5083A,Ubicación,26931307,2100,Url,600
5083B,Ubicación,Telefono,1,Url,1
5083C,Ubicación,26958481,119,Url,34
5085A,Ubicación,26938060,252,Url,72
5085B,Ubicación,26954178,35,Url,10
5085C,Ubicación,26618196,91,Url,26
5085D,Ubicación,26618135,294,Url,84
5086A,Ubicación,26944141,826,Url,236
5086B,Ubicación,26921317,455,Url,130
5086C,Ubicación,26921087,273,Url,78
5087A,Ubicación,26944354,3812,Url,1089
6041A,Ubicación,Telefono,1,Url,1
6041B,Ubicación,26398928,298,Url,85
6041C,Ubicación,Telefono,1,Url,1
6041D,Ubicación,26478179,158,Url,45
6041E,Ubicación,26478027,609,Url,174
6042A,Ubicación,26398732,343,Url,98
20212A,Ubicación,Telefono,1,Url,1
60116A,Ubicación,Telefono,98,Url,28
60116B,Ubicación,Telefono,200,Url,57
3075A,Costado norte Iglesia Catolica,83133554,1800,no,410
3034B,Frente terminal buses ,no tiene,700,no,230
30111A,Costado norte plaza deportes,80808080,4380,no,1000
3082A,300 metros oeste de la plaza,25735103,2500,no,567
3058A,Casa familia del administrador,no tiene,375,no,85
3052A,Casa familia del administrador,84956365,154,no,35
3054A,Frente Escuela Publica MEP,84282604,4000,no,906
3022A,Contiguo Plaza deportes,no tiene,1870,no,425
3023A,Camino Tapante,no tiene,3225,no,773
30511A,Casa Administrador,88122743,1420,no,323
3082B,Contiguo Tanque de AyA,25734301,2847,no,647
3082C,Interamericana Sur 100 Este,no tiene,1690,no,384
3082D,100 metros norte de la Estacion Electrica de Jasec,83429510,1012,no,230
3074A,Frente calle a Cipreses,25366132,2500,no,580
3072A,300 Norte plaza,25366081,12000,no,2025
3073A,Centro,25302033,2280,no,438
3014A,100 m sur de tanques ASADA,25372844,678,no,154
3075B,Centro,25252525,3700,no,850
3022B,Contiguo Plaza deportes,no tiene,3225,no,733
3024A,Camino Principal Tucurrique,25771372,620,no,141
3023B,Urbanizacion INVU,83272815,2068,no,470
2033A,"Santa Gertrudis Centro, Diagonal a la ferretería tipsa",24941675,3200,no,875
